employee_id;name;email;gender;date_of_birth;age;address;phone_number;ssn;salary;iban
1723035677;Jeffrey Smith;Jeffrey.Smith@company.com;M;1982-07-14;42;927 Samantha Prairie Apt. 174 Morganland, FL 19790;625-258-4912;825-89-5121;440689;GB59LTWF46506791621196
1723035678;Marissa Campbell;Marissa.Campbell@company.com;F;2004-12-16;20;17209 Matthew Ville Apt. 092 Michaelaview, ME 68725;885.492.1086x7796;229-26-6179;515595;GB65IQPS95672985189626
1723035679;Jessica Robinson;Jessica.Robinson@company.com;F;1980-07-16;44;238 Olson Pass Wilsonside, MI 38197;704-958-3372;642-27-8313;295596;GB15CVIL44541779828182
1723035681;Kayla Johnson;Kayla.Johnson@company.com;F;1975-04-11;49;711 Kevin Mews Wrightside, VT 09010;(864)264-6355x98073;335-96-9005;246485;GB34HPEL65393948111525
1723035682;David Anderson;David.Anderson@company.com;M;1996-06-12;28;4674 Pierce Ways Suite 771 Wheelertown, AL 00707;338-408-9280x49181;810-81-8954;182823;GB69MYIU02314947709283
1723035683;Danielle Gibbs;Danielle.Gibbs@company.com;F;1997-07-04;27;363 Nicholas Coves Apt. 804 Emilyport, OR 50809;746-329-0875x39812;126-60-6919;617117;GB88TWRC26492052654234
1723035684;Cheryl Peters;Cheryl.Peters@company.com;F;1981-03-10;43;56315 Daniel Alley West Lauraville, ND 07938;688-747-9820;396-85-3680;766894;GB62UYSN58186342277353
1723035685;Lisa Sanders;Lisa.Sanders@company.com;F;1989-02-27;35;694 Gonzalez Terrace Kaylaview, TX 99788;727.608.5896x45341;506-31-3353;79758;GB52AQYU21960195889159
1723035686;Martha Weiss;Martha.Weiss@company.com;F;1980-02-24;44;5362 David Alley Suite 576 Port Jenniferfort, NC 55388;981.897.3933x671;560-60-9754;710226;GB18NIUG36312964222228
1723035680;Jessica Carey;Jessica.Carey@company.com;F;1970-08-12;54;USNV Campbell FPO AA 79454;(597)840-9228x1068;746-14-3753;356505;GB07OCUY31680260935809
